Номер,Проект,Инициатор,Ответственный,Приоритет,Влияние,Воспроизводимость,Версия продукта,Категория,Создан,Операционная система,Версия ОС,Платформа,Видимость,Изменена,Тема,Состояние,Решение,Решена в версии
0001834,QA31,Zhuk,,низкий,малое,всегда,,General,2024-03-07,Windows 10 Pro,22H2,,публичная,2024-03-07,Название города Одесса неправильно написано в англ локализации,новая,открыта,
"0001833,QA31,Zhuk,,низкий,текст/опечатка,всегда,,General,2024-03-07,Windows 10 Pro,22H2,,публичная,2024-03-07,""Не переведено название ссылки """"Подпишись на нас в инстаграм"""" в разделе """"О нас"""" на русский язык"",новая,открыта,"
"0001832,QA31,Zhuk,,низкий,текст/опечатка,всегда,,General,2024-03-07,Windows 10 Pro,22H2,,публичная,2024-03-07,""Не переведено название подраздела Expirience в разделе """"О нас"""" на русский язык"",новая,открыта,"
0001831,QA31,Zhuk,,низкий,текст/опечатка,всегда,,General,2024-03-07,Windows 10 Pro,22H2,,публичная,2024-03-07,Лента новостей в разделе Feed не соответствует выбранной англ докализации,новая,открыта,
"0001830,QA31,Zhuk,,низкий,малое,всегда,,General,2024-03-07,Windows 10 Pro,22H2,,публичная,2024-03-07,""Не появляется анимация при наведении на """"Електронні картки Apple i Google в главном меню сайта"",новая,открыта,"
0001829,QA31,Zhuk,,обычный,малое,всегда,,General,2024-03-07,Windows 10 Pro,22H2,,публичная,2024-03-07,Не воспроизводится видео в разделе Стрічка,новая,открыта,
"0001828,QA31,Zhuk,,обычный,малое,всегда,,General,2024-03-07,Windows 10 Pro,22H2,,публичная,2024-03-07,""Отсутствует возможность определить длительность проекта с в разделе """"Розрахунок вартості"""""",новая,открыта,"
0001827,QA31,Zhuk,,низкий,текст/опечатка,всегда,,General,2024-03-07,Windows 10 Pro,22H2,,публичная,2024-03-07,Термин Android написан с ошибкой в разделе  F.Q.A.,новая,открыта,
0001826,QA31,Zhuk,,обычный,малое,всегда,,General,2024-03-07,Windows 10 Pro,22H2,,публичная,2024-03-07,Отсутвует ссылка на разьяснение терминов в разделе F.Q.A.,новая,открыта,
"0001825,QA31,Zhuk,,обычный,малое,всегда,,General,2024-03-07,Windows 10 Pro,22H2,,публичная,2024-03-07,""Функция """"Связаться с экспертами"""" работает при введении невалидных данных"",новая,открыта,"
