"ID","Title","Created By","Created On","Estimate","Forecast","Priority","References","Section","Section Depth","Section Description","Suite","Suite ID","Type","Updated By","Updated On"
"C2","Проверить размер  номеров телефонов","VV ZZ","3/13/2024 9:48 AM","120s","","Low","","Связаться с нами","0","","Master","S1","Other","VV ZZ","3/13/2024 10:39 AM"
"C3","Проверить размер значков флагов регионов для контактов","VV ZZ","3/13/2024 9:50 AM","120s","","Low","","Связаться с нами","0","","Master","S1","Other","VV ZZ","3/13/2024 9:50 AM"
"C4","Проверить цвет значков соц.сетей при наведении на них курсором","VV ZZ","3/13/2024 10:02 AM","120s","","Low","","Связаться с нами","0","","Master","S1","Other","VV ZZ","3/13/2024 10:02 AM"
"C5","Проверить размер значков соц.сетей","VV ZZ","3/13/2024 10:04 AM","120s","","Low","","Связаться с нами","0","","Master","S1","Other","VV ZZ","3/13/2024 10:04 AM"
"C6","Просмотреть размер надписи Зв'язатися з нами","VV ZZ","3/13/2024 10:06 AM","60s","","Low","","Связаться с нами","0","","Master","S1","Other","VV ZZ","3/13/2024 10:06 AM"
"C7","Просмотреть размер надписи Ми в соціальних мережах","VV ZZ","3/13/2024 10:08 AM","60s","","Low","","Связаться с нами","0","","Master","S1","Other","VV ZZ","3/13/2024 10:08 AM"
"C8","Просмотреть размер надписи Навігація","VV ZZ","3/13/2024 10:10 AM","60s","","Low","","Связаться с нами","0","","Master","S1","Other","VV ZZ","3/13/2024 10:10 AM"
"C9","Просмотреть размер надписи Міста ZEZMAN","VV ZZ","3/13/2024 10:10 AM","60s","","Low","","Связаться с нами","0","","Master","S1","Other","VV ZZ","3/13/2024 10:11 AM"
"C10","Ввести в поле телефон буквенные значения","VV ZZ","3/13/2024 10:17 AM","120s","","Medium","","Связаться с нами","0","","Master","S1","Other","VV ZZ","3/13/2024 10:17 AM"
"C11","Отправить обращение без соглашения на условия конфиденциальности","VV ZZ","3/13/2024 10:19 AM","180s","","Medium","","Связаться с нами","0","","Master","S1","Other","VV ZZ","3/13/2024 10:19 AM"
"C12","Ввести в поле E-mail электронный адрес без @","VV ZZ","3/13/2024 10:23 AM","120s","","Medium","","Связаться с нами","0","","Master","S1","Other","VV ZZ","3/13/2024 10:23 AM"
"C13","Проверить возможность прикрепления документов в формате png","VV ZZ","3/13/2024 10:26 AM","120s","","Low","","Связаться с нами","0","","Master","S1","Other","VV ZZ","3/13/2024 10:29 AM"
"C14","Проверить возможность прикрепления документов в формате pdf","VV ZZ","3/13/2024 10:28 AM","60s","","Low","","Связаться с нами","0","","Master","S1","Other","VV ZZ","3/13/2024 10:29 AM"
"C15","Проверить возможность прикрепления документов в формате html","VV ZZ","3/13/2024 10:36 AM","120s","","Low","","Связаться с нами","0","","Master","S1","Other","VV ZZ","3/13/2024 10:36 AM"
"C16","Проверить работает ли ссылка Политики конфиденциальности","VV ZZ","3/13/2024 10:39 AM","60s","","Low","","Связаться с нами","0","","Master","S1","Other","VV ZZ","3/13/2024 10:39 AM"
